,0,1,2,3,4,5
387,62,10,61,8,0,0
388,71,13,70,9,1,0
389,132,22,121,17,0,0
390,69,17,67,10,2,0
391,54,8,47,6,0,0
392,136,22,131,20,1,0
393,48,8,46,5,0,0
394,27,6,25,5,0,0
395,81,13,78,9,2,0
396,92,16,86,14,1,0
397,72,14,67,13,1,0
398,100,18,93,17,2,0
399,67,11,60,9,1,0
400,101,21,98,17,2,0
401,125,10,115,10,0,0
402,127,21,117,19,1,0
403,63,10,61,9,0,0
404,39,6,36,6,0,0
405,34,5,31,5,0,0
406,105,20,95,16,0,0
407,113,20,102,17,1,0
408,132,25,120,23,1,0
409,31,6,25,5,0,0
410,85,17,82,17,0,0
411,59,9,56,5,0,0
412,39,6,37,5,0,0
413,47,8,44,6,0,0
414,129,25,126,21,0,0
415,79,14,71,12,0,0
416,128,21,124,20,0,0
417,91,18,87,16,0,0
418,51,10,47,7,0,0
419,100,19,95,13,0,0
420,105,22,97,18,0,0
421,57,7,55,6,0,0
422,74,13,67,11,1,0
423,114,22,111,15,0,0
424,52,10,49,8,0,0
425,51,9,49,6,0,0
426,134,21,128,17,0,0
427,58,8,51,8,0,0
428,25,4,23,3,0,0
429,78,11,69,10,0,0
430,115,22,108,19,1,0
431,104,19,101,16,0,0
432,52,9,50,8,0,0
433,52,9,50,7,0,0
434,38,4,36,4,0,0
435,7,1,7,1,0,0
436,129,21,120,19,0,0
437,99,17,93,13,0,0
438,63,9,55,8,0,0
439,43,7,41,5,1,0
440,135,20,127,19,1,0
441,47,11,43,9,0,0
442,111,25,110,20,0,0
443,82,16,79,16,1,0
444,89,16,81,16,1,0
445,19,2,17,2,0,0
446,132,25,131,20,1,0
447,128,22,124,18,3,0
448,123,23,114,19,0,0
449,137,21,134,17,0,0
450,52,9,46,7,1,0
451,51,8,48,8,0,0
452,18,3,17,3,0,0
453,83,14,73,11,0,0
454,52,9,48,8,0,0
455,53,12,49,8,0,0
456,31,5,30,4,0,0
457,102,19,97,17,1,0
458,122,26,116,20,1,0
459,137,25,133,19,2,0
460,68,12,65,9,0,0
461,28,5,25,5,0,0
462,101,19,96,15,1,0
463,110,21,101,16,1,0
464,40,6,38,5,0,0
465,127,24,120,20,1,0
466,26,3,24,3,0,0
467,63,11,61,11,1,0
468,87,15,81,13,0,0
469,20,3,18,3,0,1
470,62,11,56,10,0,0
471,134,26,128,17,1,0
472,49,9,47,8,0,0
473,65,9,62,8,0,0
474,125,24,118,20,1,0
475,14,1,13,1,0,0
476,55,8,51,6,0,0
477,46,7,42,6,1,0
478,106,18,100,15,1,0
479,49,7,45,5,0,0
480,75,14,67,9,0,0
481,101,18,98,15,0,0
